Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2022-05-05,29.65,29.65,26.94,27.27,27.27,27859000,SNAP
2022-05-06,27.11,27.2,24.81,24.92,24.92,31983200,SNAP
2022-05-09,24.98,25.12,23.18,23.39,23.39,31604500,SNAP
2022-05-10,24.01,24.09,22.0,22.89,22.89,36436100,SNAP
2022-05-11,22.81,23.875,21.7,21.84,21.84,35183400,SNAP
2022-05-12,21.54,23.795,20.95,22.77,22.77,37016200,SNAP
2022-05-13,23.32,24.8,23.2,24.75,24.75,35684700,SNAP
2022-05-16,24.29,24.7,23.34,23.42,23.42,25171900,SNAP
2022-05-17,24.085,24.705,23.33,24.54,24.54,28441000,SNAP
2022-05-18,24.05,24.754,22.645,22.73,22.73,29460400,SNAP
2022-05-19,22.73,23.74,22.28,23.2,23.2,30700800,SNAP
2022-05-20,23.59,24.155,22.295,23.26,23.26,29598700,SNAP
2022-05-23,23.31,23.31,21.71,22.47,22.47,43386300,SNAP
2022-05-24,14.49,14.57,12.55,12.79,12.79,286479900,SNAP
2022-05-25,12.91,14.57,12.86,14.16,14.16,162922300,SNAP
2022-05-26,13.75,14.94,13.63,14.81,14.81,80386400,SNAP
2022-05-27,14.85,15.635,14.61,15.58,15.58,66159100,SNAP
2022-05-31,15.37,15.42,14.09,14.11,14.11,98324800,SNAP
2022-06-01,14.11,14.71,13.48,13.93,13.93,80420400,SNAP
2022-06-02,13.54,15.12,13.54,14.9,14.9,58591000,SNAP
2022-06-03,14.59,14.87,14.2,14.49,14.49,34347400,SNAP
2022-06-06,14.61,15.4,13.88,15.15,15.15,64278200,SNAP
2022-06-07,14.81,15.48,14.702,15.28,15.28,36646900,SNAP
2022-06-08,15.4,15.87,15.14,15.17,15.17,36326100,SNAP
2022-06-09,15.26,15.26,14.06,14.1,14.1,36895100,SNAP
2022-06-10,13.83,13.97,13.15,13.28,13.28,42426800,SNAP
2022-06-13,12.84,13.02,11.92,12.02,12.02,43722300,SNAP
2022-06-14,12.08,12.52,11.9,11.91,11.91,40211400,SNAP
2022-06-15,11.98,13.43,11.88,13.2,13.2,59075900,SNAP
2022-06-16,12.65,12.781,12.14,12.22,12.22,38525000,SNAP
2022-06-17,12.32,12.62,12.03,12.42,12.42,48608000,SNAP
2022-06-21,12.47,13.24,12.32,12.85,12.85,37130600,SNAP
2022-06-22,12.63,13.49,12.58,13.08,13.08,31227400,SNAP
2022-06-23,13.16,14.0,13.03,13.94,13.94,32057800,SNAP
2022-06-24,14.11,14.72,13.98,14.7,14.7,37302200,SNAP
2022-06-27,15.11,15.28,14.38,14.56,14.56,29269400,SNAP
2022-06-28,14.36,14.79,13.7,13.73,13.73,24383600,SNAP
2022-06-29,13.76,13.98,13.355,13.96,13.96,25595800,SNAP
2022-06-30,13.73,13.78,12.83,13.13,13.13,32767200,SNAP
2022-07-01,13.18,13.46,12.8,13.17,13.17,23318900,SNAP
2022-07-05,12.97,14.4,12.657,14.38,14.38,28813100,SNAP
2022-07-06,14.35,14.61,14.06,14.28,14.28,23266300,SNAP
2022-07-07,14.4,15.115,14.28,15.1,15.1,25460900,SNAP
2022-07-08,14.75,15.3,14.61,14.96,14.96,21290700,SNAP
2022-07-11,14.59,14.84,14.0,14.06,14.06,21485300,SNAP
2022-07-12,14.24,14.59,13.76,14.04,14.04,24850900,SNAP
2022-07-13,13.74,14.245,13.42,13.83,13.83,24333700,SNAP
2022-07-14,13.79,13.87,13.15,13.17,13.17,24256700,SNAP
2022-07-15,13.5,14.09,13.45,13.65,13.65,38346800,SNAP
2022-07-18,13.87,14.545,13.8,13.92,13.92,44254900,SNAP
2022-07-19,13.97,14.22,13.46,14.15,14.15,34902400,SNAP
2022-07-20,14.52,15.64,14.41,15.51,15.51,47768400,SNAP
2022-07-21,15.54,16.545,15.47,16.35,16.35,116754700,SNAP
2022-07-22,11.1,11.11,9.91,9.96,9.96,330993900,SNAP
2022-07-25,9.73,10.13,9.66,9.95,9.95,137819200,SNAP
2022-07-26,9.78,9.93,9.63,9.63,9.63,94591200,SNAP
2022-07-27,9.71,9.84,9.38,9.55,9.55,120729300,SNAP
2022-07-28,9.55,9.92,9.34,9.67,9.67,97531200,SNAP
2022-07-29,9.67,9.93,9.47,9.88,9.88,74531400,SNAP
2022-08-01,9.81,9.82,9.5,9.54,9.54,50125600,SNAP
2022-08-02,9.55,10.13,9.51,9.87,9.87,66355600,SNAP
2022-08-03,9.92,10.49,9.92,10.32,10.32,61691400,SNAP
2022-08-04,10.33,10.56,10.1,10.25,10.25,48278000,SNAP
2022-08-05,10.08,10.35,9.98,10.18,10.18,37576000,SNAP
2022-08-08,10.25,10.8,10.17,10.41,10.41,49276000,SNAP
2022-08-09,10.24,10.295,10.02,10.16,10.16,33603600,SNAP
2022-08-10,10.46,10.87,10.4,10.57,10.57,50989800,SNAP
2022-08-11,10.84,11.8,10.82,11.11,11.11,67196000,SNAP
2022-08-12,11.31,11.64,11.13,11.62,11.62,40840900,SNAP
2022-08-15,11.61,12.388,11.56,12.24,12.24,63880300,SNAP
2022-08-16,12.4,12.73,12.0,12.61,12.61,67364900,SNAP
2022-08-17,12.25,12.32,11.64,12.09,12.09,69571300,SNAP
2022-08-18,12.02,12.78,11.83,12.56,12.56,62750400,SNAP
2022-08-19,12.2,12.255,11.51,11.56,11.56,46401000,SNAP
2022-08-22,11.04,11.35,10.89,11.01,11.01,41173200,SNAP
2022-08-23,11.025,11.16,10.54,10.6,10.6,34913700,SNAP
2022-08-24,10.68,11.02,10.63,10.86,10.86,27794600,SNAP
2022-08-25,11.03,11.24,10.8,11.21,11.21,31252700,SNAP
2022-08-26,11.23,11.34,10.56,10.67,10.67,35219500,SNAP
2022-08-29,10.485,10.825,10.27,10.27,10.27,29417500,SNAP
2022-08-30,10.43,10.59,9.85,10.01,10.01,59438200,SNAP
2022-08-31,11.25,11.6,10.2,10.88,10.88,199520700,SNAP
2022-09-01,10.94,11.67,10.78,11.64,11.64,80012400,SNAP
2022-09-02,11.75,11.78,11.18,11.22,11.22,45734900,SNAP
2022-09-06,11.27,11.28,10.67,10.77,10.77,38114800,SNAP
2022-09-07,10.82,11.66,10.7,11.46,11.46,59443000,SNAP
2022-09-08,11.32,12.68,11.31,12.53,12.53,84685200,SNAP
2022-09-09,12.45,12.91,12.36,12.65,12.65,54592100,SNAP
2022-09-12,12.69,12.94,12.44,12.65,12.65,32375100,SNAP
2022-09-13,11.95,12.17,11.575,11.77,11.77,34931400,SNAP
2022-09-14,11.66,11.721,11.27,11.52,11.52,32801200,SNAP
2022-09-15,11.43,12.25,11.31,11.9,11.9,46012500,SNAP
2022-09-16,11.7,11.7,11.27,11.3,11.3,42384900,SNAP
2022-09-19,11.13,11.41,10.901,11.35,11.35,32212500,SNAP
2022-09-20,11.19,11.38,11.01,11.12,11.12,25296300,SNAP
2022-09-21,11.21,11.488,10.835,10.85,10.85,30721600,SNAP
2022-09-22,10.85,11.0,10.35,10.46,10.46,28336800,SNAP
2022-09-23,10.32,10.555,10.15,10.32,10.32,24400300,SNAP
2022-09-26,10.3,10.6,10.1,10.18,10.18,23510800,SNAP
2022-09-27,10.36,10.73,10.19,10.45,10.45,22067400,SNAP
2022-09-28,10.42,10.79,10.4,10.76,10.76,18536700,SNAP
2022-09-29,10.54,10.61,10.0,10.19,10.19,22950000,SNAP
2022-09-30,10.16,10.33,9.805,9.82,9.82,29121900,SNAP
2022-10-03,9.96,10.03,9.42,9.98,9.98,27802800,SNAP
2022-10-04,10.3,10.82,10.25,10.82,10.82,34439900,SNAP
2022-10-05,10.85,11.22,10.57,11.2,11.2,28942000,SNAP
2022-10-06,11.3,11.85,11.27,11.35,11.35,31833700,SNAP
2022-10-07,10.98,11.08,10.505,10.66,10.66,22935500,SNAP
2022-10-10,10.62,10.655,10.325,10.41,10.41,19463800,SNAP
2022-10-11,10.37,10.6,9.83,10.31,10.31,32994200,SNAP
2022-10-12,10.3,10.555,10.01,10.51,10.51,31567900,SNAP
2022-10-13,10.08,10.65,9.63,10.58,10.58,40447900,SNAP
2022-10-14,10.83,11.02,9.97,9.99,9.99,27464100,SNAP
2022-10-17,10.28,10.88,10.27,10.59,10.59,40747300,SNAP
2022-10-18,10.96,11.135,10.54,10.6,10.6,38453900,SNAP
2022-10-19,10.82,11.395,10.66,10.86,10.86,52275600,SNAP
2022-10-20,10.9,11.36,10.62,10.79,10.79,125477800,SNAP
2022-10-21,7.76,8.15,7.33,7.76,7.76,244675900,SNAP
2022-10-24,7.58,8.57,7.49,8.31,8.31,161717500,SNAP
2022-10-25,8.3,9.8,8.26,9.6,9.6,142016400,SNAP
2022-10-26,9.3,10.04,9.26,9.58,9.58,104527900,SNAP
2022-10-27,9.57,9.85,9.35,9.56,9.56,80704000,SNAP
2022-10-28,9.65,10.1,9.6,10.08,10.08,54030300,SNAP
2022-10-31,10.04,10.325,9.7,9.91,9.91,33479300,SNAP
2022-11-01,10.23,10.65,9.8,10.25,10.25,78222300,SNAP
2022-11-02,10.26,10.3,9.51,9.54,9.54,53841400,SNAP
2022-11-03,9.4,9.54,9.13,9.16,9.16,32201600,SNAP
2022-11-04,9.34,9.43,8.88,9.14,9.14,33927000,SNAP
2022-11-07,9.4,10.02,9.34,10.01,10.01,37936000,SNAP
2022-11-08,10.01,10.3,9.82,10.28,10.28,33869900,SNAP
2022-11-09,10.25,10.25,9.33,9.56,9.56,34557800,SNAP
2022-11-10,10.06,10.83,9.77,10.73,10.73,54710900,SNAP
2022-11-11,10.7,11.82,10.53,11.58,11.58,51036900,SNAP
2022-11-14,11.45,11.65,11.2,11.29,11.29,31516900,SNAP
2022-11-15,11.76,11.96,11.47,11.78,11.78,41978100,SNAP
2022-11-16,11.6,11.775,11.0,11.07,11.07,31818300,SNAP
2022-11-17,10.75,11.02,10.67,10.92,10.92,18704300,SNAP
2022-11-18,11.06,11.12,10.5,10.52,10.52,23502600,SNAP
2022-11-21,10.41,10.45,9.84,9.96,9.96,28990800,SNAP
2022-11-22,9.97,10.0,9.702,9.91,9.91,25742800,SNAP
2022-11-23,9.98,10.48,9.92,10.32,10.32,21053700,SNAP
2022-11-25,10.14,10.37,10.115,10.18,10.18,8242500,SNAP
2022-11-28,10.08,10.135,9.75,9.84,9.84,25103600,SNAP
2022-11-29,9.89,9.987,9.73,9.82,9.82,15519600,SNAP
2022-11-30,9.84,10.32,9.65,10.31,10.31,45284300,SNAP
2022-12-01,10.31,11.07,10.27,10.87,10.87,46607900,SNAP
2022-12-02,10.535,10.75,10.32,10.5,10.5,32239400,SNAP
2022-12-05,10.41,10.69,10.04,10.1,10.1,19332900,SNAP
2022-12-06,10.07,10.07,9.15,9.42,9.42,43349600,SNAP
2022-12-07,9.36,9.63,9.29,9.3,9.3,26051600,SNAP
2022-12-08,9.49,9.74,9.35,9.4,9.4,17794000,SNAP
2022-12-09,9.16,9.618,9.01,9.45,9.45,19248300,SNAP
2022-12-12,9.47,9.69,9.26,9.46,9.46,25264900,SNAP
2022-12-13,9.94,10.19,9.4,9.41,9.41,51002000,SNAP
2022-12-14,9.44,9.915,9.33,9.54,9.54,30008700,SNAP
2022-12-15,9.16,9.2,8.58,8.76,8.76,49291700,SNAP
2022-12-16,8.79,9.01,8.36,8.47,8.47,32739500,SNAP
2022-12-19,8.4,8.45,8.13,8.19,8.19,20680500,SNAP
2022-12-20,8.09,8.51,8.05,8.21,8.21,19249900,SNAP
2022-12-21,8.26,8.69,8.14,8.64,8.64,24570700,SNAP
2022-12-22,8.45,8.7,8.22,8.68,8.68,29282000,SNAP
2022-12-23,8.67,8.76,8.505,8.58,8.58,16986000,SNAP
2022-12-27,8.4,8.69,8.265,8.56,8.56,26829300,SNAP
2022-12-28,8.44,8.709,8.39,8.55,8.55,18172700,SNAP
2022-12-29,8.635,8.96,8.53,8.81,8.81,30669900,SNAP
2022-12-30,8.57,8.95,8.521,8.95,8.95,16248800,SNAP
2023-01-03,9.15,9.28,8.69,8.85,8.85,15548400,SNAP
2023-01-04,9.15,9.31,9.0,9.3,9.3,26092700,SNAP
2023-01-05,9.15,9.37,8.92,9.14,9.14,21044000,SNAP
2023-01-06,9.22,9.445,8.9,9.22,9.22,24456900,SNAP
2023-01-09,9.39,9.52,9.2,9.2,9.2,16666200,SNAP
2023-01-10,9.12,9.438,9.09,9.42,9.42,18594100,SNAP
2023-01-11,9.46,9.75,9.3,9.66,9.66,24151800,SNAP
2023-01-12,9.75,9.91,9.355,9.64,9.64,21738600,SNAP
2023-01-13,9.5,9.815,9.4,9.8,9.8,16051000,SNAP
2023-01-17,9.73,9.8,9.3,9.67,9.67,29736200,SNAP
2023-01-18,9.77,9.85,9.25,9.41,9.41,23576500,SNAP
2023-01-19,9.33,9.75,9.305,9.62,9.62,23414600,SNAP
2023-01-20,9.69,10.0,9.475,9.99,9.99,23493400,SNAP
2023-01-23,9.96,10.37,9.795,10.2,10.2,21301000,SNAP
2023-01-24,10.17,10.47,10.02,10.26,10.26,21399100,SNAP
2023-01-25,10.0,10.07,9.51,9.67,9.67,43033300,SNAP
2023-01-26,9.99,10.34,9.89,10.19,10.19,29750600,SNAP
2023-01-27,10.2,11.01,10.1,10.91,10.91,52512100,SNAP
2023-01-30,10.8,11.16,10.69,11.09,11.09,41466400,SNAP
2023-01-31,11.26,11.57,11.18,11.56,11.56,73903200,SNAP
2023-02-01,10.07,10.47,9.85,10.37,10.37,118212400,SNAP
2023-02-02,10.8,11.68,10.62,11.4,11.4,81750200,SNAP
2023-02-03,10.87,11.61,10.78,11.0,11.0,44759900,SNAP
2023-02-06,10.91,12.17,10.87,12.07,12.07,64353000,SNAP
2023-02-07,12.21,12.44,11.82,12.21,12.21,53492300,SNAP
2023-02-08,12.17,12.29,11.55,11.56,11.56,33392500,SNAP
2023-02-09,11.8,11.83,10.89,10.98,10.98,34700500,SNAP
2023-02-10,10.8,10.939,10.48,10.65,10.65,25603800,SNAP
2023-02-13,10.8,11.15,10.63,10.71,10.71,25883300,SNAP
2023-02-14,10.64,11.1,10.54,10.85,10.85,29261700,SNAP
2023-02-15,10.85,11.28,10.82,11.26,11.26,23074900,SNAP
2023-02-16,10.94,11.39,10.69,10.73,10.73,50141500,SNAP
2023-02-17,10.58,10.68,10.17,10.36,10.36,35737500,SNAP
2023-02-21,10.14,10.258,9.79,9.81,9.81,28713200,SNAP
2023-02-22,9.86,9.99,9.75,9.9,9.9,17750200,SNAP
2023-02-23,10.05,10.24,9.881,10.1,10.1,23914800,SNAP
2023-02-24,9.85,9.94,9.68,9.81,9.81,20102200,SNAP
2023-02-27,10.08,10.25,9.82,9.88,9.88,26116500,SNAP
2023-02-28,9.97,10.25,9.93,10.15,10.15,32572900,SNAP
2023-03-01,10.15,10.33,10.029,10.14,10.14,22501900,SNAP
2023-03-02,9.9,10.14,9.881,10.1,10.1,17552800,SNAP
2023-03-03,10.19,10.7,10.17,10.65,10.65,24543000,SNAP
2023-03-06,10.87,12.175,10.83,11.66,11.66,81524000,SNAP
2023-03-07,11.71,12.67,11.69,11.72,11.72,67925800,SNAP
2023-03-08,11.28,11.49,10.98,11.05,11.05,36499500,SNAP
2023-03-09,11.08,11.35,10.58,10.66,10.66,25967100,SNAP
2023-03-10,10.65,10.7,10.22,10.34,10.34,23701000,SNAP
2023-03-13,10.19,10.51,9.95,10.23,10.23,27246600,SNAP
2023-03-14,10.55,10.7,10.19,10.37,10.37,26552900,SNAP
2023-03-15,10.13,10.37,9.86,10.34,10.34,22619500,SNAP
2023-03-16,10.75,11.18,10.38,11.09,11.09,52433400,SNAP
2023-03-17,10.87,10.95,10.4,10.7,10.7,34496200,SNAP
2023-03-20,10.75,10.919,10.47,10.66,10.66,17665600,SNAP
2023-03-21,10.75,11.47,10.73,11.38,11.38,23426500,SNAP
2023-03-22,11.35,11.7,11.02,11.05,11.05,21179600,SNAP
2023-03-23,11.56,12.11,11.16,11.39,11.39,39608900,SNAP
2023-03-24,11.45,11.735,11.32,11.56,11.56,19197900,SNAP
2023-03-27,11.65,12.09,11.56,11.74,11.74,25453300,SNAP
2023-03-28,11.61,11.7,10.88,11.06,11.06,31806300,SNAP
2023-03-29,11.18,11.19,10.64,10.78,10.78,38808200,SNAP
2023-03-30,10.85,11.0,10.67,10.91,10.91,22164200,SNAP
2023-03-31,10.92,11.26,10.805,11.21,11.21,22284200,SNAP
2023-04-03,11.07,11.305,10.98,11.24,11.24,15085400,SNAP
2023-04-04,11.34,11.47,10.88,11.0,11.0,18604100,SNAP
2023-04-05,10.85,10.9,10.33,10.39,10.39,21294500,SNAP
2023-04-06,10.35,10.69,10.23,10.56,10.56,16512800,SNAP
2023-04-10,10.36,10.42,10.16,10.36,10.36,18457500,SNAP
2023-04-11,10.4,10.73,10.39,10.56,10.56,19691800,SNAP
2023-04-12,10.69,10.78,10.36,10.62,10.62,21840300,SNAP
2023-04-13,10.79,11.02,10.71,10.74,10.74,18569700,SNAP
2023-04-14,10.67,10.95,10.55,10.69,10.69,19894800,SNAP
2023-04-17,10.6,10.88,10.57,10.88,10.88,20609400,SNAP
2023-04-18,11.15,11.34,11.01,11.04,11.04,26453100,SNAP
2023-04-19,10.85,11.4,10.85,10.98,10.98,28011600,SNAP
2023-04-20,10.8,10.875,10.12,10.14,10.14,34102800,SNAP
2023-04-21,10.2,10.34,9.98,10.01,10.01,26418600,SNAP
2023-04-24,10.02,10.266,9.92,10.22,10.22,15394600,SNAP
2023-04-25,10.19,10.33,10.125,10.16,10.16,18736800,SNAP
2023-04-26,10.4,10.4,9.81,9.88,9.88,37987600,SNAP
2023-04-27,10.14,10.7,9.87,10.5,10.5,107216600,SNAP
2023-04-28,8.62,8.71,8.41,8.71,8.71,95969900,SNAP
2023-05-01,8.78,8.93,8.53,8.73,8.73,42409900,SNAP
2023-05-02,8.58,8.67,8.27,8.31,8.31,41246400,SNAP
2023-05-03,8.28,8.35,8.02,8.07,8.07,40353900,SNAP
2023-05-04,8.04,8.09,7.86,7.91,7.91,29079600,SNAP
2023-05-05,8.03,8.31,7.9,8.23,8.23,30260300,SNAP
2023-05-08,8.31,8.495,8.19,8.42,8.42,21828100,SNAP
2023-05-09,8.26,8.36,8.15,8.27,8.27,21062700,SNAP
2023-05-10,8.49,8.73,8.42,8.7,8.7,38351300,SNAP
2023-05-11,8.67,8.8,8.56,8.75,8.75,19587000,SNAP
2023-05-12,8.75,8.81,8.45,8.55,8.55,17620500,SNAP
2023-05-15,8.49,8.74,8.435,8.7,8.7,16590300,SNAP
2023-05-16,8.59,8.69,8.395,8.61,8.61,20332800,SNAP
2023-05-17,8.73,9.39,8.7,9.37,9.37,37859000,SNAP
2023-05-18,9.21,9.75,9.2,9.69,9.69,32407400,SNAP
2023-05-19,9.58,9.73,9.48,9.72,9.72,19524300,SNAP
2023-05-22,9.73,9.97,9.665,9.76,9.76,17640600,SNAP
2023-05-23,9.68,9.92,9.62,9.8,9.8,14442500,SNAP
2023-05-24,9.68,9.93,9.61,9.8,9.8,13300500,SNAP
2023-05-25,9.92,10.069,9.77,9.78,9.78,18991000,SNAP
2023-05-26,9.87,10.4,9.84,10.28,10.28,20363100,SNAP
2023-05-30,10.39,10.54,10.13,10.22,10.22,20578300,SNAP
2023-05-31,10.05,10.23,9.83,10.2,10.2,30412400,SNAP
2023-06-01,10.06,10.46,10.01,10.33,10.33,16856500,SNAP
2023-06-02,10.47,10.585,10.29,10.41,10.41,20820600,SNAP
2023-06-05,10.32,10.7,10.3,10.51,10.51,15119800,SNAP
2023-06-06,10.43,10.63,10.34,10.51,10.51,16523200,SNAP
2023-06-07,10.56,10.64,10.09,10.19,10.19,18951900,SNAP
2023-06-08,10.19,10.21,10.02,10.04,10.04,16868300,SNAP
2023-06-09,10.15,10.58,10.02,10.09,10.09,26612000,SNAP
2023-06-12,10.21,10.24,10.02,10.23,10.23,18620600,SNAP
2023-06-13,10.39,10.43,10.14,10.32,10.32,17588600,SNAP
2023-06-14,10.3,10.388,10.07,10.25,10.25,17098900,SNAP
2023-06-15,9.98,10.69,9.96,10.66,10.66,30121500,SNAP
2023-06-16,10.76,10.835,10.42,10.68,10.68,28843400,SNAP
2023-06-20,10.58,10.76,10.38,10.58,10.58,21910100,SNAP
2023-06-21,10.55,10.62,10.145,10.23,10.23,21488100,SNAP
2023-06-22,10.17,10.64,10.16,10.64,10.64,20672600,SNAP
2023-06-23,10.4,11.15,10.386,10.82,10.82,27743900,SNAP
2023-06-26,10.73,11.4,10.7,11.21,11.21,34008200,SNAP
2023-06-27,11.36,11.62,11.12,11.48,11.48,31107100,SNAP
2023-06-28,11.56,11.7,11.415,11.65,11.65,27255000,SNAP
2023-06-29,11.95,12.04,11.58,11.68,11.68,23006700,SNAP
2023-06-30,11.78,12.1,11.75,11.84,11.84,23678500,SNAP
2023-07-03,11.9,12.02,11.84,12.02,12.02,8882000,SNAP
2023-07-05,11.91,12.35,11.88,12.12,12.12,20616600,SNAP
2023-07-06,11.97,12.14,11.76,11.91,11.91,22876700,SNAP
2023-07-07,11.91,12.05,11.64,11.68,11.68,24260400,SNAP
2023-07-10,11.77,11.98,11.655,11.78,11.78,20146400,SNAP
2023-07-11,11.94,13.08,11.91,12.74,12.74,43989800,SNAP
2023-07-12,13.06,13.62,12.945,13.37,13.37,40584300,SNAP
2023-07-13,13.58,13.89,13.5,13.51,13.51,40065300,SNAP
2023-07-14,13.49,13.63,13.0,13.15,13.15,26977700,SNAP
2023-07-17,13.14,13.64,12.97,13.47,13.47,28982300,SNAP
2023-07-18,13.49,13.51,12.87,13.37,13.37,33108100,SNAP
2023-07-19,13.43,13.53,13.08,13.11,13.11,28630900,SNAP
2023-07-20,12.94,13.265,12.83,12.93,12.93,20442800,SNAP
2023-07-21,13.06,13.06,12.675,12.74,12.74,21381200,SNAP
2023-07-24,12.86,12.93,12.545,12.68,12.68,23715500,SNAP
2023-07-25,12.52,12.67,12.35,12.51,12.51,68993700,SNAP
2023-07-26,10.36,10.73,9.99,10.73,10.73,137880000,SNAP
2023-07-27,10.9,10.915,10.181,10.33,10.33,65311800,SNAP
2023-07-28,10.3,10.75,10.29,10.68,10.68,49135000,SNAP
2023-07-31,10.66,11.38,10.66,11.36,11.36,37947800,SNAP
2023-08-01,11.26,11.33,11.04,11.28,11.28,19576400,SNAP
2023-08-02,10.99,11.22,10.88,10.97,10.97,31209400,SNAP
2023-08-03,10.9,11.0,10.69,10.79,10.79,23726800,SNAP
2023-08-04,10.93,11.06,10.72,10.75,10.75,19965700,SNAP
2023-08-07,10.76,10.795,10.5,10.57,10.57,16688200,SNAP
2023-08-08,10.41,10.595,10.185,10.54,10.54,22353000,SNAP
2023-08-09,10.54,10.58,10.39,10.44,10.44,14402000,SNAP
2023-08-10,10.6,10.7,10.21,10.22,10.22,15646200,SNAP
2023-08-11,10.1,10.23,10.02,10.03,10.03,15993500,SNAP
2023-08-14,9.99,9.99,9.81,9.94,9.94,23922100,SNAP
2023-08-15,9.86,9.9,9.5,9.56,9.56,21223100,SNAP
2023-08-16,9.51,9.59,9.15,9.16,9.16,30289500,SNAP
2023-08-17,9.17,9.28,9.03,9.04,9.04,20527900,SNAP
2023-08-18,8.91,9.185,8.86,9.18,9.18,14764700,SNAP
2023-08-21,9.24,9.39,9.14,9.36,9.36,13634000,SNAP
2023-08-22,9.41,9.47,9.19,9.25,9.25,14963600,SNAP
2023-08-23,9.19,9.33,9.19,9.24,9.24,10358900,SNAP
2023-08-24,9.38,9.46,9.06,9.37,9.37,20443900,SNAP
2023-08-25,9.39,9.41,9.0,9.25,9.25,19434900,SNAP
2023-08-28,9.34,9.55,9.325,9.45,9.45,11979100,SNAP
2023-08-29,9.48,9.9,9.425,9.89,9.89,18276500,SNAP
2023-08-30,9.82,10.17,9.75,10.12,10.12,30608900,SNAP
2023-08-31,10.13,10.44,10.13,10.35,10.35,20863600,SNAP
2023-09-01,10.41,10.54,10.31,10.44,10.44,17965900,SNAP
2023-09-05,10.27,10.6,10.23,10.46,10.46,20595200,SNAP
2023-09-06,10.27,10.29,9.57,9.63,9.63,40061400,SNAP
2023-09-07,9.45,9.82,9.415,9.72,9.72,17158300,SNAP
2023-09-08,9.68,9.74,9.39,9.39,9.39,21002100,SNAP
2023-09-11,9.48,9.635,9.43,9.44,9.44,16848000,SNAP
2023-09-12,9.36,9.63,9.36,9.58,9.58,13528600,SNAP
2023-09-13,9.49,9.538,9.28,9.29,9.29,12832400,SNAP
2023-09-14,9.365,9.4,9.15,9.16,9.16,12847600,SNAP
2023-09-15,9.19,9.245,9.04,9.16,9.16,16278400,SNAP
