Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2017-11-13,20.008667,21.12,19.940666,21.026667,21.026667,113773500,TSLA
2017-11-14,21.0,21.09,20.46,20.58,20.58,85141500,TSLA
2017-11-15,20.400667,20.832666,20.1,20.753332,20.753332,89680500,TSLA
2017-11-16,20.932667,21.209333,20.753332,20.833332,20.833332,87331500,TSLA
2017-11-17,21.711332,21.778,20.876667,21.003332,21.003332,206026500,TSLA
2017-11-20,20.919333,21.033333,20.316668,20.582666,20.582666,123715500,TSLA
2017-11-21,20.724,21.215334,20.580667,21.187332,21.187332,108919500,TSLA
2017-11-22,21.118,21.161333,20.789333,20.84,20.84,73764000,TSLA
2017-11-24,20.919333,21.094,20.733334,21.036667,21.036667,48661500,TSLA
2017-11-27,20.883333,21.156,20.634,21.120667,21.120667,68338500,TSLA
2017-11-28,21.090668,21.333332,20.928,21.17,21.17,74242500,TSLA
2017-11-29,21.153334,21.2,20.082,20.502666,20.502666,131511000,TSLA
2017-11-30,20.570667,20.713333,20.302668,20.59,20.59,65274000,TSLA
2017-12-01,20.362667,20.688,20.336666,20.435333,20.435333,64393500,TSLA
2017-12-04,20.433332,20.551332,20.040667,20.346666,20.346666,87526500,TSLA
2017-12-05,20.133333,20.533333,20.066668,20.246668,20.246668,69697500,TSLA
2017-12-06,20.006666,20.892668,20.0,20.884,20.884,107929500,TSLA
2017-12-07,20.8,21.242,20.736668,20.749332,20.749332,71709000,TSLA
2017-12-08,20.973333,21.132,20.750668,21.008667,21.008667,52027500,TSLA
2017-12-11,20.975332,21.934,20.916668,21.927334,21.927334,119070000,TSLA
2017-12-12,22.03,22.762667,22.002,22.735332,22.735332,130998000,TSLA
2017-12-13,22.728666,22.948,22.433332,22.602,22.602,93322500,TSLA
2017-12-14,22.734,23.162666,22.46,22.526,22.526,86998500,TSLA
2017-12-15,22.802668,22.926666,22.384,22.896667,22.896667,103998000,TSLA
2017-12-18,22.993334,23.115334,22.505333,22.591333,22.591333,82143000,TSLA
2017-12-19,22.684,22.766,22.02,22.073334,22.073334,102375000,TSLA
2017-12-20,22.179333,22.206667,21.669333,21.932,21.932,89307000,TSLA
2017-12-21,21.972668,22.249332,21.814,22.110666,22.110666,65778000,TSLA
2017-12-22,21.967333,22.061333,21.654667,21.68,21.68,63237000,TSLA
2017-12-26,21.588667,21.596,21.105333,21.152666,21.152666,65676000,TSLA
2017-12-27,21.066668,21.178667,20.716667,20.776,20.776,70681500,TSLA
2017-12-28,20.783333,21.054667,20.636,21.024,21.024,64744500,TSLA
2017-12-29,21.078667,21.094,20.666668,20.756666,20.756666,56658000,TSLA
2018-01-02,20.8,21.474,20.733334,21.368668,21.368668,65283000,TSLA
2018-01-03,21.4,21.683332,21.036667,21.15,21.15,67822500,TSLA
2018-01-04,20.858,21.236668,20.378668,20.974667,20.974667,149194500,TSLA
2018-01-05,21.108,21.149332,20.8,21.105333,21.105333,68868000,TSLA
2018-01-08,21.066668,22.468,21.033333,22.427334,22.427334,147891000,TSLA
2018-01-09,22.344,22.586666,21.826668,22.246,22.246,107199000,TSLA
2018-01-10,22.146667,22.466667,22.0,22.32,22.32,64648500,TSLA
2018-01-11,22.349333,22.987333,22.217333,22.53,22.53,99682500,TSLA
2018-01-12,22.575333,22.694,22.244667,22.414667,22.414667,72376500,TSLA
2018-01-16,22.502666,23.0,22.32,22.670668,22.670668,97114500,TSLA
2018-01-17,22.698,23.266666,22.65,23.144,23.144,106552500,TSLA
2018-01-18,23.044666,23.486668,22.916,22.971333,22.971333,85287000,TSLA
2018-01-19,23.0,23.372667,22.84,23.334667,23.334667,73324500,TSLA
2018-01-22,23.293333,23.855333,23.28,23.437332,23.437332,93156000,TSLA
2018-01-23,24.0,24.033333,23.4,23.519333,23.519333,81981000,TSLA
2018-01-24,23.638666,23.65,22.901333,23.059334,23.059334,79312500,TSLA
2018-01-25,23.218,23.28,22.426666,22.509333,22.509333,101104500,TSLA
2018-01-26,22.766666,22.933332,22.380667,22.856667,22.856667,68091000,TSLA
2018-01-29,22.656668,23.39,22.552,23.302,23.302,71206500,TSLA
2018-01-30,23.009333,23.218,22.811333,23.054667,23.054667,70765500,TSLA
2018-01-31,23.167334,23.746,23.012667,23.620667,23.620667,93211500,TSLA
2018-02-01,23.4,23.977333,23.242,23.283333,23.283333,62965500,TSLA
2018-02-02,23.229334,23.463333,22.700666,22.916668,22.916668,55572000,TSLA
2018-02-05,22.531334,22.964666,22.2,22.208668,22.208668,66961500,TSLA
2018-02-06,21.680668,22.414667,21.566668,22.264668,22.264668,76326000,TSLA
2018-02-07,22.599333,23.066668,22.377333,23.0,23.0,104538000,TSLA
2018-02-08,22.887333,23.241333,20.973333,21.015333,21.015333,154719000,TSLA
2018-02-09,21.328667,21.398666,19.650667,20.694668,20.694668,194005500,TSLA
2018-02-12,21.075333,21.205334,20.416668,21.048668,21.048668,93417000,TSLA
2018-02-13,21.001333,21.612667,20.834,21.577333,21.577333,68403000,TSLA
2018-02-14,21.389334,21.744667,21.234667,21.487333,21.487333,59260500,TSLA
2018-02-15,21.633333,22.274668,21.493334,22.271334,22.271334,88693500,TSLA
2018-02-16,22.166668,22.874666,22.109333,22.366,22.366,84639000,TSLA
2018-02-20,22.298,22.722668,22.1,22.318,22.318,60141000,TSLA
2018-02-21,22.402,22.646,22.211332,22.22,22.22,48294000,TSLA
2018-02-22,22.368668,23.162666,22.316668,23.078,23.078,104547000,TSLA
2018-02-23,23.188667,23.666,23.14,23.47,23.47,87261000,TSLA
2018-02-26,23.566668,23.933332,23.490667,23.828,23.828,65100000,TSLA
2018-02-27,23.75,23.999332,23.334,23.399332,23.399332,71961000,TSLA
2018-02-28,23.504667,23.682667,22.814667,22.870667,22.870667,91045500,TSLA
2018-03-01,23.000668,23.244667,22.004667,22.062,22.062,103284000,TSLA
2018-03-02,21.798668,22.348,21.531334,22.341333,22.341333,76392000,TSLA
2018-03-05,22.159332,22.516666,21.952667,22.223333,22.223333,57357000,TSLA
2018-03-06,22.25,22.424667,21.802,21.88,21.88,64285500,TSLA
2018-03-07,21.696,22.166668,21.449333,22.153334,22.153334,75109500,TSLA
2018-03-08,22.190666,22.22,21.751333,21.94,21.94,53493000,TSLA
2018-03-09,21.606667,21.899332,21.491333,21.811333,21.811333,82602000,TSLA
2018-03-12,21.907333,23.147333,21.766666,23.034,23.034,123960000,TSLA
2018-03-13,21.907333,23.147333,21.766666,22.789333,22.789333,89487000,TSLA
2018-03-14,22.450666,22.654,21.595333,21.775333,21.775333,119511000,TSLA
2018-03-15,21.958668,22.19,21.406668,21.706667,21.706667,98472000,TSLA
2018-03-16,21.528667,21.826668,21.271334,21.423332,21.423332,91759500,TSLA
2018-03-19,21.1,21.383333,20.644667,20.904,20.904,112264500,TSLA
2018-03-20,20.991333,21.083332,20.584,20.703333,20.703333,71464500,TSLA
2018-03-21,20.683332,21.496,20.679333,21.102,21.102,89376000,TSLA
2018-03-22,20.926,21.254667,20.545334,20.606667,20.606667,74097000,TSLA
2018-03-23,20.75,20.75,20.03,20.102667,20.102667,99823500,TSLA
2018-03-26,20.489332,20.506,19.424,20.278667,20.278667,125628000,TSLA
2018-03-27,20.266666,20.284666,18.478666,18.612,18.612,208080000,TSLA
2018-03-28,17.638666,17.912,16.806667,17.185333,17.185333,315021000,TSLA
2018-03-29,17.099333,18.064,16.547333,17.742,17.742,227560500,TSLA
2018-04-02,17.084,17.355333,16.306,16.832,16.832,241710000,TSLA
2018-04-03,17.988,18.223333,16.966,17.835333,17.835333,282666000,TSLA
2018-04-04,16.852,19.224667,16.8,19.129333,19.129333,298450500,TSLA
2018-04-05,19.289333,20.417334,19.213333,20.381332,20.381332,286816500,TSLA
2018-04-06,20.066668,20.618668,19.7,19.953333,19.953333,202804500,TSLA
2018-04-09,20.024668,20.633333,19.280666,19.310667,19.310667,153747000,TSLA
2018-04-10,19.931334,20.473333,19.578667,20.313334,20.313334,164847000,TSLA
2018-04-11,20.049334,20.598667,19.977333,20.062,20.062,112243500,TSLA
2018-04-12,20.154667,20.263332,19.578667,19.605333,19.605333,114132000,TSLA
2018-04-13,20.24,20.263332,19.732,20.022667,20.022667,109908000,TSLA
2018-04-16,19.933332,19.977333,19.267332,19.414,19.414,95077500,TSLA
2018-04-17,19.258,19.478,18.834,19.179333,19.179333,105000000,TSLA
2018-04-18,19.405333,20.016,19.210667,19.556667,19.556667,98365500,TSLA
2018-04-19,19.405333,20.067333,19.236668,20.005333,20.005333,91359000,TSLA
2018-04-20,19.678,19.998667,19.316668,19.349333,19.349333,84418500,TSLA
2018-04-23,19.419333,19.441334,18.822,18.891333,18.891333,73401000,TSLA
2018-04-24,19.0,19.139334,18.564,18.897333,18.897333,85279500,TSLA
2018-04-25,18.9,19.010668,18.483334,18.712667,18.712667,60204000,TSLA
2018-04-26,18.583332,19.052668,18.433332,19.032,19.032,65340000,TSLA
2018-04-27,19.024668,19.631332,18.922,19.605333,19.605333,65469000,TSLA
2018-04-30,19.574,19.915333,19.5,19.593332,19.593332,63423000,TSLA
2018-05-01,19.567333,20.054667,19.548,19.994667,19.994667,69384000,TSLA
2018-05-02,19.904667,20.456667,19.852,20.076668,20.076668,134556000,TSLA
2018-05-03,18.586,19.202667,18.348667,18.963333,18.963333,260281500,TSLA
2018-05-04,18.866667,19.790667,18.634666,19.606,19.606,128541000,TSLA
2018-05-07,19.833332,20.397333,19.678,20.184668,20.184668,130173000,TSLA
2018-05-08,20.053333,20.516666,19.933332,20.131332,20.131332,88950000,TSLA
2018-05-09,20.027332,20.467333,20.003332,20.456667,20.456667,85911000,TSLA
2018-05-10,20.5,20.866,20.274,20.334667,20.334667,84774000,TSLA
2018-05-11,20.513332,20.592,19.938667,20.070667,20.070667,70194000,TSLA
2018-05-14,20.221333,20.329332,19.441334,19.464666,19.464666,109302000,TSLA
2018-05-15,19.000668,19.130667,18.7,18.945333,18.945333,142788000,TSLA
2018-05-16,18.922,19.254,18.770666,19.098667,19.098667,85110000,TSLA
2018-05-17,19.06,19.279333,18.931334,18.969334,18.969334,66309000,TSLA
2018-05-18,18.976667,18.976667,18.266666,18.454666,18.454666,108778500,TSLA
2018-05-21,18.755333,19.432667,18.753332,18.966,18.966,137739000,TSLA
2018-05-22,19.184,19.2,18.228,18.334,18.334,134187000,TSLA
2018-05-23,18.517332,18.660667,18.266666,18.604668,18.604668,89776500,TSLA
2018-05-24,18.56,18.740667,18.326,18.523333,18.523333,62650500,TSLA
2018-05-25,18.508667,18.642668,18.374,18.59,18.59,58126500,TSLA
2018-05-29,18.567333,19.1,18.41,18.917334,18.917334,84999000,TSLA
2018-05-30,18.886,19.667334,18.773333,19.448,19.448,112345500,TSLA
2018-05-31,19.147333,19.358,18.862,18.982,18.982,88795500,TSLA
2018-06-01,19.057333,19.463333,18.922667,19.454666,19.454666,81366000,TSLA
2018-06-04,19.622667,19.933332,19.57,19.782667,19.782667,71967000,TSLA
2018-06-05,19.846666,19.853333,19.116,19.408667,19.408667,89928000,TSLA
2018-06-06,20.033333,21.478,19.832,21.3,21.3,281509500,TSLA
2018-06-07,21.076668,22.0,20.905333,21.072666,21.072666,215179500,TSLA
2018-06-08,21.266666,21.632,21.143333,21.177334,21.177334,123078000,TSLA
2018-06-11,21.500668,22.310667,21.5,22.14,22.14,197752500,TSLA
2018-06-12,22.98,23.664667,22.533333,22.851334,22.851334,335211000,TSLA
2018-06-13,23.114,23.146667,22.653334,22.985332,22.985332,142047000,TSLA
2018-06-14,23.175333,23.916668,23.106667,23.848,23.848,164715000,TSLA
2018-06-15,23.589333,24.311333,23.416668,23.878,23.878,162724500,TSLA
2018-06-18,23.693333,24.915333,23.633333,24.722,24.722,181098000,TSLA
2018-06-19,24.344,24.666668,23.083332,23.503332,23.503332,191428500,TSLA
2018-06-20,23.869333,24.292,23.466667,24.148,24.148,125755500,TSLA
2018-06-21,24.133333,24.414,23.084667,23.167334,23.167334,119506500,TSLA
2018-06-22,23.436,23.483334,22.133333,22.242,22.242,153991500,TSLA
2018-06-25,22.008,22.564667,21.833332,22.200666,22.200666,103969500,TSLA
2018-06-26,22.403334,22.903334,21.72,22.8,22.8,111787500,TSLA
2018-06-27,23.0,23.386,22.633333,22.966667,22.966667,125005500,TSLA
2018-06-28,23.244,23.801332,23.074,23.328667,23.328667,125970000,TSLA
2018-06-29,23.555332,23.590668,22.827333,22.863333,22.863333,97386000,TSLA
2018-07-02,24.004667,24.318666,21.99,22.338,22.338,281397000,TSLA
2018-07-03,22.116667,22.166,20.646,20.724,20.724,184239000,TSLA
2018-07-05,20.917334,20.959333,19.748,20.610666,20.610666,262146000,TSLA
2018-07-06,20.33,20.804667,20.133333,20.593332,20.593332,132982500,TSLA
2018-07-09,20.799334,21.234667,20.533333,21.234,21.234,113952000,TSLA
2018-07-10,21.637333,21.845333,21.28,21.498,21.498,142072500,TSLA
2018-07-11,21.053333,21.462667,21.004667,21.264,21.264,73261500,TSLA
2018-07-12,21.428667,21.548668,20.851334,21.114,21.114,85818000,TSLA
2018-07-13,21.038668,21.305332,20.616667,21.258,21.258,88047000,TSLA
2018-07-16,20.780666,21.010668,20.416668,20.673332,20.673332,117280500,TSLA
2018-07-17,20.587334,21.649332,20.566668,21.512667,21.512667,104943000,TSLA
2018-07-18,21.666668,21.7,21.083332,21.59,21.59,84363000,TSLA
2018-07-19,21.088667,21.569332,20.934,21.348667,21.348667,88729500,TSLA
2018-07-20,21.415333,21.549334,20.780666,20.905333,20.905333,77433000,TSLA
2018-07-23,20.122667,20.366667,19.524,20.213333,20.213333,164893500,TSLA
2018-07-24,20.294666,20.514668,19.503332,19.828667,19.828667,143862000,TSLA
2018-07-25,19.782667,20.641333,19.633333,20.582666,20.582666,106131000,TSLA
2018-07-26,20.323334,20.713333,20.242666,20.443333,20.443333,69457500,TSLA
